epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.263,1.22511,1.57573,1.00713,0.95091,0.56148,0.75762,0.5644,0.36374,0.56627,0.68373,0.52174,0.26376,1.12548,2.21997,1.15122,0.94034,0.000657277,0.000657277,0.000657277
2,145.479,1.11902,1.33322,0.59391,0.91062,0.17355,0.49969,0.12989,0.08097,0.17095,0.47268,0.12139,0.0618,1.27801,5.5039,2.60856,0.99586,0.00129773,0.00129773,0.00129773
3,206.999,1.11421,1.33339,0.60261,0.91049,0.84556,0.89133,0.92225,0.58976,0.77672,0.81313,0.77766,0.36574,1.04607,1.42017,1.05514,0.90304,0.00191178,0.00191178,0.00191178
4,271.803,1.09071,1.25397,0.58506,0.90696,0.89627,0.92812,0.96056,0.63767,0.88824,0.88442,0.93117,0.55303,1.05402,1.3835,0.66597,0.9051,0.0018812,0.0018812,0.0018812
5,334.988,1.07952,1.23395,0.56925,0.90624,0.91078,0.92654,0.97253,0.69154,0.87123,0.87337,0.92004,0.53723,0.95664,1.11042,0.524,0.88801,0.0018416,0.0018416,0.0018416
6,401.505,1.02532,1.19821,0.54386,0.89449,0.93817,0.90537,0.9745,0.6615,0.92254,0.87657,0.94982,0.59118,1.01192,1.12604,0.55253,0.88866,0.001802,0.001802,0.001802
7,463.205,1.03018,1.16682,0.54012,0.89551,0.95209,0.91552,0.97707,0.67106,0.88916,0.83391,0.90252,0.47453,1.02234,1.21163,0.54906,0.8948,0.0017624,0.0017624,0.0017624
8,526.094,0.99485,1.16544,0.51744,0.89396,0.95836,0.9107,0.97661,0.70336,0.92233,0.86652,0.93298,0.53603,0.94178,1.09914,0.49608,0.87732,0.0017228,0.0017228,0.0017228
9,583.87,0.99785,1.14152,0.51457,0.88791,0.94443,0.9309,0.98052,0.71134,0.90049,0.87533,0.9326,0.55972,0.93081,1.13627,0.50485,0.87544,0.0016832,0.0016832,0.0016832
10,643.551,0.96117,1.14234,0.49792,0.88462,0.94604,0.94163,0.98377,0.71958,0.92024,0.8987,0.95058,0.58949,0.89635,1.04496,0.46855,0.86642,0.0016436,0.0016436,0.0016436
11,701.353,0.94603,1.10491,0.48889,0.88033,0.93493,0.94767,0.98181,0.72404,0.88771,0.89385,0.93714,0.56693,0.87887,1.06094,0.45953,0.86761,0.001604,0.001604,0.001604
12,760.617,0.95597,1.10717,0.49137,0.88045,0.94466,0.92745,0.98083,0.7202,0.91356,0.87957,0.93659,0.56722,0.90263,1.04617,0.46204,0.87164,0.0015644,0.0015644,0.0015644
13,821.879,0.94029,1.08543,0.47586,0.87542,0.95406,0.91834,0.98155,0.73271,0.91691,0.86647,0.93494,0.57368,0.87844,1.04535,0.44351,0.86607,0.0015248,0.0015248,0.0015248
14,883.041,0.93403,1.08867,0.48605,0.87546,0.96726,0.91857,0.98282,0.7416,0.93284,0.87877,0.94821,0.58988,0.8854,1.04754,0.44757,0.86835,0.0014852,0.0014852,0.0014852
15,942.82,0.93273,1.08034,0.4822,0.87325,0.96473,0.91866,0.98171,0.74222,0.9253,0.86683,0.93593,0.56061,0.87635,1.03981,0.46328,0.86283,0.0014456,0.0014456,0.0014456
16,1004.06,0.91989,1.07334,0.47301,0.87081,0.95118,0.93011,0.98033,0.73492,0.89802,0.87396,0.92773,0.55703,0.87818,1.04826,0.44663,0.86402,0.001406,0.001406,0.001406
17,1065.32,0.92203,1.08101,0.4689,0.86951,0.96258,0.91771,0.98269,0.73823,0.92553,0.86654,0.93772,0.56669,0.86061,1.02372,0.43604,0.863,0.0013664,0.0013664,0.0013664
18,1126.66,0.91903,1.08198,0.47064,0.87761,0.95552,0.92435,0.98192,0.74785,0.91691,0.85602,0.93212,0.56744,0.85935,1.01895,0.45784,0.86279,0.0013268,0.0013268,0.0013268
19,1186.13,0.91078,1.06615,0.47099,0.8735,0.96036,0.92057,0.98252,0.74678,0.91736,0.87513,0.94554,0.57834,0.84415,1.01325,0.43562,0.85734,0.0012872,0.0012872,0.0012872
20,1247.38,0.8893,1.04037,0.45375,0.86901,0.95849,0.91387,0.9814,0.74658,0.91534,0.86495,0.93911,0.56337,0.84624,1.0189,0.43307,0.85941,0.0012476,0.0012476,0.0012476
21,1306.81,0.89621,1.04965,0.45402,0.87053,0.93693,0.92996,0.9825,0.75435,0.91432,0.85467,0.93365,0.56105,0.8333,1.02068,0.42551,0.85741,0.001208,0.001208,0.001208
22,1375.2,0.8905,1.05406,0.45384,0.86602,0.95151,0.93066,0.98165,0.74807,0.90181,0.8728,0.93396,0.57324,0.84661,1.00327,0.43358,0.85795,0.0011684,0.0011684,0.0011684
23,1434.72,0.8933,1.05284,0.45578,0.86975,0.96803,0.91289,0.98209,0.74768,0.92393,0.86592,0.93296,0.56747,0.83883,1.01382,0.42268,0.85725,0.0011288,0.0011288,0.0011288
24,1495.99,0.88358,1.0437,0.44673,0.86652,0.9546,0.92965,0.98319,0.75378,0.90989,0.88191,0.94795,0.58893,0.83717,1.0172,0.41697,0.85734,0.0010892,0.0010892,0.0010892
25,1557.7,0.87865,1.04021,0.44309,0.86782,0.94499,0.93347,0.98282,0.74752,0.89978,0.87469,0.9407,0.58064,0.83946,0.99914,0.42995,0.85559,0.0010496,0.0010496,0.0010496
26,1618.22,0.883,1.05198,0.44613,0.8639,0.94942,0.92564,0.98251,0.74822,0.90963,0.87469,0.94242,0.58153,0.83683,1.00402,0.41928,0.85615,0.00101,0.00101,0.00101
27,1674.54,0.89615,1.0392,0.44554,0.86284,0.96334,0.93262,0.98417,0.76074,0.90578,0.86956,0.93391,0.56085,0.82433,0.9959,0.40813,0.85317,0.0009704,0.0009704,0.0009704
28,1732.2,0.88085,1.04269,0.44056,0.8665,0.9519,0.92613,0.98336,0.75998,0.90404,0.86992,0.93729,0.56725,0.81277,0.97551,0.40419,0.8531,0.0009308,0.0009308,0.0009308
29,1789.71,0.86887,1.03398,0.44104,0.86496,0.96206,0.91426,0.98359,0.75547,0.91993,0.86244,0.93922,0.56461,0.83169,1.00189,0.40923,0.85591,0.0008912,0.0008912,0.0008912
30,1848.95,0.86151,1.04098,0.42365,0.8651,0.96015,0.93087,0.98371,0.76356,0.91475,0.8706,0.93805,0.57308,0.82277,0.99942,0.40398,0.85529,0.0008516,0.0008516,0.0008516
31,1906.5,0.84793,0.99715,0.42494,0.86056,0.93353,0.9395,0.98321,0.75367,0.89701,0.86987,0.93883,0.57392,0.81505,0.99803,0.40586,0.85171,0.000812,0.000812,0.000812
32,1966.11,0.86474,1.01644,0.42954,0.86039,0.96414,0.92898,0.98417,0.76114,0.91534,0.87908,0.94059,0.57369,0.81585,1.0019,0.40293,0.85312,0.0007724,0.0007724,0.0007724
33,2027.44,0.85906,1.00068,0.42547,0.8595,0.94384,0.94818,0.98328,0.7554,0.89717,0.9043,0.94609,0.60166,0.83269,1.00071,0.40356,0.85556,0.0007328,0.0007328,0.0007328
34,2107.03,0.85606,1.0011,0.42399,0.86111,0.93932,0.94001,0.98329,0.76383,0.88693,0.88199,0.93937,0.58081,0.81032,0.98724,0.39462,0.85145,0.0006932,0.0006932,0.0006932
35,2164.77,0.84471,1.01252,0.41604,0.85592,0.93852,0.94912,0.9829,0.75987,0.89296,0.88561,0.93854,0.57601,0.81033,0.98562,0.39333,0.85299,0.0006536,0.0006536,0.0006536
36,2224.21,0.85754,1.02246,0.42049,0.85892,0.9555,0.92391,0.98316,0.76706,0.91066,0.87398,0.942,0.59015,0.81536,0.99162,0.39367,0.85403,0.000614,0.000614,0.000614
37,2283.53,0.8465,1.00564,0.41693,0.85837,0.93959,0.94277,0.98389,0.75893,0.89835,0.89196,0.94272,0.59349,0.82261,0.97788,0.39618,0.85386,0.0005744,0.0005744,0.0005744
38,2342.99,0.84556,0.99437,0.41658,0.85912,0.95661,0.93687,0.98455,0.76998,0.90368,0.88108,0.93733,0.58605,0.80146,0.97232,0.38268,0.8508,0.0005348,0.0005348,0.0005348
39,2399.19,0.83744,0.98789,0.41157,0.85804,0.95356,0.92274,0.98344,0.76729,0.92224,0.86421,0.94205,0.58691,0.8019,0.96796,0.38654,0.84916,0.0004952,0.0004952,0.0004952
40,2458.74,0.82393,0.97961,0.407,0.85549,0.95335,0.92274,0.98342,0.77175,0.90881,0.86072,0.93373,0.58169,0.79584,0.97717,0.37965,0.85093,0.0004556,0.0004556,0.0004556
